,image_name,infer,conf,infer2,conf2
75,78b.png,tensor(93.0010),tensor(76),tensor(70.5665),tensor(51)
76,79b.png,tensor(97.6326),tensor(77),tensor(76.6375),tensor(85)
77,7b.png,tensor(93.1774),tensor(78),tensor(81.9986),tensor(28)
78,80b.png,tensor(97.0203),tensor(79),tensor(81.5320),tensor(13)
79,81b.png,tensor(93.2310),tensor(80),tensor(85.0995),tensor(54)
80,82b.png,tensor(95.7777),tensor(81),tensor(95.3899),tensor(0)
81,83b.png,tensor(90.8190),tensor(82),tensor(65.8170),tensor(68)
82,84b.png,tensor(96.1807),tensor(83),tensor(83.7785),tensor(71)
83,85b.png,tensor(92.4680),tensor(84),tensor(87.0468),tensor(32)
84,86b.png,tensor(88.5457),tensor(85),tensor(83.9177),tensor(65)
85,87b.png,tensor(93.8233),tensor(86),tensor(77.4402),tensor(28)
86,88b.png,tensor(89.5860),tensor(87),tensor(73.9628),tensor(24)
87,89b.png,tensor(96.0243),tensor(88),tensor(82.4079),tensor(24)
88,8b.png,tensor(95.4695),tensor(89),tensor(81.9010),tensor(88)
89,90b.png,tensor(78.1446),tensor(14),tensor(77.6875),tensor(32)
90,91b.png,tensor(69.8397),tensor(90),tensor(69.1456),tensor(76)
91,92b.png,tensor(78.4449),tensor(74),tensor(78.2129),tensor(38)
92,93b.png,tensor(75.7427),tensor(11),tensor(74.3472),tensor(56)
93,94b.png,tensor(81.9414),tensor(65),tensor(78.6625),tensor(24)
94,95b.png,tensor(85.7064),tensor(24),tensor(82.7109),tensor(33)
95,96b.png,tensor(74.5668),tensor(79),tensor(73.1038),tensor(32)
96,97b.png,tensor(80.0310),tensor(68),tensor(79.0089),tensor(43)
97,98b.png,tensor(76.9909),tensor(9),tensor(75.3374),tensor(51)
98,99b.png,tensor(85.1494),tensor(32),tensor(80.6844),tensor(31)
99,9b.png,tensor(92.6562),tensor(90),tensor(80.9116),tensor(74)
